0	0	0	6 1 2 0 7 4 5 3 
15	1	14	6 1 2 3 7 4 5 0 
18	2	16	6 1 2 3 7 4 0 5 
19	3	16	6 1 2 3 0 4 5 7 
18	4	14	6 1 2 3 4 0 5 7 
17	5	12	6 1 2 3 4 5 0 7 
16	6	10	6 1 2 3 4 5 7 0 
20	4	16	0 1 2 3 6 4 5 7 
19	7	12	4 1 2 3 6 0 5 7 
18	8	10	4 1 2 3 6 5 0 7 
17	9	8	4 1 2 3 6 5 7 0 
19	5	14	1 0 2 3 6 4 5 7 
16	6	10	1 4 2 3 6 0 5 7 
15	7	8	1 4 2 3 6 5 0 7 
14	8	6	1 4 2 3 6 5 7 0 
17	7	10	1 4 2 3 0 6 5 7 
17	9	8	1 4 2 3 7 6 5 0 
18	6	12	1 2 0 3 6 4 5 7 
15	7	8	1 2 5 3 6 4 0 7 
14	8	6	1 2 5 3 6 4 7 0 
17	7	10	1 2 3 0 6 4 5 7 
16	10	6	1 2 3 5 6 4 0 7 
15	11	4	1 2 3 5 6 4 7 0 
16	8	8	1 2 3 7 6 4 5 0 
18	8	10	1 2 5 3 6 0 4 7 
19	9	10	1 2 3 7 6 4 0 5 
19	9	10	1 2 5 3 0 6 4 7 
19	11	8	1 2 3 5 6 0 4 7 
19	11	8	1 2 5 3 7 6 4 0 
20	6	14	3 1 2 0 6 4 5 7 
17	7	10	3 1 2 7 6 4 5 0 
19	9	10	3 1 2 5 6 4 0 7 
18	10	8	3 1 2 5 6 4 7 0 
20	12	8	1 2 3 5 0 6 4 7 
20	10	10	1 2 3 6 0 4 5 7 
19	11	8	1 2 3 6 4 0 5 7 
18	12	6	1 2 3 6 4 5 0 7 
17	13	4	1 2 3 6 4 5 7 0 
20	8	12	4 1 2 3 0 6 5 7 
20	10	10	1 4 2 3 7 6 0 5 
20	14	6	1 2 3 5 7 6 4 0 
20	10	10	4 1 2 3 7 6 5 0 
20	12	8	1 2 3 6 7 4 5 0 
20	10	10	1 2 5 3 0 4 7 6 
19	11	8	1 2 5 3 4 0 7 6 
20	10	10	1 4 2 3 0 5 7 6 
19	11	8	1 4 2 3 5 0 7 6 
20	12	8	1 2 5 3 4 7 0 6 
19	13	6	1 2 5 3 4 7 6 0 
20	12	8	1 4 2 3 5 7 0 6 
19	13	6	1 4 2 3 5 7 6 0 
20	8	12	3 1 2 7 6 4 0 5 
21	13	8	1 2 3 5 0 4 7 6 
20	14	6	1 2 3 5 4 0 7 6 
21	3	18	6 1 2 3 7 0 4 5 
21	15	6	1 2 3 5 4 7 0 6 
20	16	4	1 2 3 5 4 7 6 0 
21	7	14	7 1 2 3 6 4 5 0 
21	9	12	3 1 2 7 0 4 5 6 
21	3	18	6 1 2 5 7 4 0 3 
20	4	16	6 1 2 5 7 4 3 0 
22	10	12	1 0 2 3 4 6 5 7 
21	11	10	1 2 0 3 4 6 5 7 
18	12	6	1 2 5 3 4 6 0 7 
17	13	4	1 2 5 3 4 6 7 0 
20	12	8	1 2 3 0 4 6 5 7 
19	15	4	1 2 3 5 4 6 0 7 
18	16	2	1 2 3 5 4 6 7 0 
19	13	6	1 2 3 7 4 6 5 0 
21	13	8	1 2 5 3 4 0 6 7 
21	15	6	1 2 3 4 0 6 5 7 
21	17	4	1 2 3 4 7 6 5 0 
22	4	18	0 1 2 3 7 4 5 6 
20	6	14	3 1 2 0 7 4 5 6 
17	9	8	3 1 2 5 7 4 0 6 
16	10	6	3 1 2 5 7 4 6 0 
19	7	12	3 1 2 6 7 4 5 0 
20	10	10	3 1 2 5 7 0 4 6 
21	7	14	4 1 2 3 7 0 5 6 
20	8	12	4 1 2 3 7 5 0 6 
19	9	10	4 1 2 3 7 5 6 0 
21	5	16	1 0 2 3 7 4 5 6 
18	6	12	1 4 2 3 7 0 5 6 
17	7	10	1 4 2 3 7 5 0 6 
16	8	8	1 4 2 3 7 5 6 0 
19	7	12	1 4 2 3 0 7 5 6 
17	9	8	1 4 2 3 6 7 5 0 
20	6	14	1 2 0 3 7 4 5 6 
15	7	8	1 2 5 3 7 4 0 6 
14	8	6	1 2 5 3 7 4 6 0 
18	8	10	1 2 5 3 7 0 4 6 
19	7	12	1 2 3 0 7 4 5 6 
16	8	8	1 2 3 6 7 4 5 0 
18	10	8	1 2 3 5 7 4 0 6 
17	11	6	1 2 3 5 7 4 6 0 
19	9	10	1 2 3 6 7 4 0 5 
18	10	8	1 2 3 6 7 4 5 0 
20	10	10	1 2 5 3 0 4 6 7 
19	11	8	1 2 5 3 4 0 6 7 
20	10	10	1 4 2 3 0 5 6 7 
19	11	8	1 4 2 3 5 0 6 7 
18	12	6	1 4 2 3 5 6 0 7 
17	13	4	1 4 2 3 5 6 7 0 
20	10	10	1 4 2 3 6 7 0 5 
21	9	12	1 2 5 3 0 7 4 6 
19	11	8	1 2 5 3 6 7 4 0 
21	11	10	1 2 3 5 7 0 4 6 
21	13	8	1 2 3 5 0 4 6 7 
20	14	6	1 2 3 5 4 0 6 7 
21	11	10	1 4 2 3 6 0 7 5 
21	9	12	1 0 5 3 7 2 4 6 
21	5	16	7 1 2 3 0 4 5 6 
21	7	14	3 1 0 2 7 4 5 6 
14	8	6	3 1 5 2 7 4 0 6 
13	9	4	3 1 5 2 7 4 6 0 
17	9	8	3 1 5 2 7 0 4 6 
20	10	10	3 1 5 0 7 4 6 2 
20	10	10	3 1 5 2 0 7 4 6 
20	12	8	3 1 5 2 6 7 4 0 
21	11	10	3 1 5 2 0 4 6 7 
21	13	8	3 1 5 7 0 4 6 2 
17	15	2	3 1 5 7 2 4 6 0 
20	16	4	3 1 5 7 2 4 0 6 
22	12	10	1 2 3 5 0 7 4 6 
20	14	6	1 2 3 5 6 7 4 0 
22	14	8	3 1 5 7 4 0 6 2 
22	12	10	1 4 2 3 0 6 7 5 
22	6	16	7 1 2 3 4 0 5 6 
21	7	14	7 1 2 3 4 5 0 6 
20	8	12	7 1 2 3 4 5 6 0 
22	10	12	1 2 3 6 7 0 4 5 
22	8	14	4 1 2 3 0 7 5 6 
20	10	10	4 1 2 3 6 7 5 0 
22	10	12	3 1 0 5 7 4 2 6 
21	11	10	3 1 5 0 7 4 2 6 
20	12	8	3 1 5 6 7 4 2 0 
22	12	10	1 2 3 0 6 4 7 5 
22	16	6	1 2 3 5 4 0 6 7 
22	16	6	1 2 3 4 6 0 5 7 
21	17	4	1 2 3 4 6 5 0 7 
20	18	2	1 2 3 4 6 5 7 0 
22	14	8	1 2 3 7 4 6 0 5 
22	10	12	1 5 0 3 7 2 4 6 
21	11	10	1 5 3 0 7 2 4 6 
20	12	8	1 5 3 6 7 2 4 0 
21	11	10	1 5 4 3 7 2 0 6 
20	12	8	1 5 4 3 7 2 6 0 
22	14	8	1 2 3 0 4 5 7 6 
22	12	10	1 2 5 3 7 6 0 4 
22	12	10	3 1 5 2 4 0 6 7 
22	14	8	1 5 3 4 7 2 0 6 
21	15	6	1 5 3 4 7 2 6 0 
22	14	8	1 5 3 7 0 2 4 6 
21	15	6	1 5 3 7 2 0 4 6 
20	16	4	1 5 3 7 2 4 0 6 
19	17	2	1 5 3 7 2 4 6 0 
22	4	18	6 1 2 3 0 7 4 5 
18	6	12	6 1 2 3 5 7 4 0 
21	7	14	6 1 2 3 5 7 0 4 
22	14	8	3 1 5 7 0 4 2 6 
22	12	10	1 2 5 3 6 7 0 4 
22	8	14	6 1 2 3 5 0 7 4 
22	16	6	3 1 5 7 6 4 2 0 
22	16	6	1 5 3 7 6 2 4 0 
22	8	14	3 1 2 6 7 4 0 5 
22	10	12	1 2 3 7 0 4 5 6 
21	11	10	1 2 3 7 4 0 5 6 
20	12	8	1 2 3 7 4 5 0 6 
19	13	6	1 2 3 7 4 5 6 0 
22	10	12	1 4 2 0 3 6 5 7 
21	13	8	1 4 2 5 3 6 0 7 
20	14	6	1 4 2 5 3 6 7 0 
21	11	10	1 4 2 7 3 6 5 0 
22	10	12	1 2 3 7 6 0 4 5 
22	14	8	1 2 3 0 4 5 6 7 
22	10	12	3 1 2 5 6 0 4 7 
22	10	12	3 1 2 7 4 0 5 6 
21	11	10	3 1 2 7 4 5 0 6 
20	12	8	3 1 2 7 4 5 6 0 
23	13	10	3 1 5 2 6 7 0 4 
23	13	10	3 1 5 6 7 4 0 2 
23	9	14	3 1 2 7 6 0 4 5 
23	9	14	0 1 2 3 4 5 7 6 
22	10	12	1 0 2 3 4 5 7 6 
21	11	10	1 2 0 3 4 5 7 6 
20	12	8	1 2 3 0 4 5 7 6 
21	11	10	1 5 2 3 4 0 7 6 
21	15	6	1 2 3 4 0 5 7 6 
19	17	2	1 2 3 4 6 5 7 0 
20	16	4	1 2 3 4 5 0 7 6 
21	17	4	1 2 3 4 5 7 0 6 
20	18	2	1 2 3 4 5 7 6 0 
22	10	12	4 1 2 3 0 5 7 6 
21	11	10	4 1 2 3 5 0 7 6 
22	12	10	1 2 7 3 4 5 0 6 
21	13	8	1 2 7 3 4 5 6 0 
22	12	10	1 5 2 3 4 7 0 6 
21	13	8	1 5 2 3 4 7 6 0 
22	12	10	4 1 2 3 5 7 0 6 
21	13	8	4 1 2 3 5 7 6 0 
23	13	10	1 2 3 6 7 4 0 5 
23	9	14	1 2 5 0 7 4 6 3 
23	11	12	4 1 2 3 0 5 7 6 
23	13	10	3 1 5 0 2 7 4 6 
22	14	8	3 1 5 6 2 7 4 0 
23	11	12	3 1 0 5 7 4 6 2 
23	5	18	0 1 2 3 6 7 4 5 
20	8	12	5 1 2 3 6 7 4 0 
22	6	16	1 0 2 3 6 7 4 5 
21	7	14	1 2 0 3 6 7 4 5 
16	8	8	1 2 4 3 6 7 0 5 
15	9	6	1 2 4 3 6 7 5 0 
17	9	8	1 2 4 3 6 0 7 5 
18	10	8	1 2 4 3 0 6 7 5 
14	12	2	1 2 4 3 5 6 7 0 
17	13	4	1 2 4 3 5 6 0 7 
20	8	12	1 2 3 0 6 7 4 5 
15	9	6	1 2 3 5 6 7 4 0 
17	11	6	1 2 3 4 6 7 0 5 
16	12	4	1 2 3 4 6 7 5 0 
18	10	8	1 2 3 5 6 7 0 4 
17	11	6	1 2 3 5 6 7 4 0 
18	12	6	1 2 3 4 6 0 7 5 
19	11	8	1 2 3 5 6 0 7 4 
19	13	6	1 2 3 4 0 6 7 5 
