0	0	0	5 4 2 0 6 1 7 3 
14	0	14	5 4 2 3 6 1 7 0 
16	0	16	5 4 2 3 6 1 0 7 
18	0	18	5 4 2 3 0 1 7 6 
16	0	16	5 4 2 3 1 0 7 6 
16	0	16	5 4 2 3 1 7 0 6 
14	0	14	5 4 2 3 1 7 6 0 
18	0	18	5 4 2 3 6 0 1 7 
18	0	18	0 4 2 3 5 1 7 6 
8	0	8	1 4 2 3 5 0 7 6 
8	0	8	1 4 2 3 5 7 0 6 
6	0	6	1 4 2 3 5 7 6 0 
10	0	10	1 4 2 3 0 5 7 6 
6	0	6	1 4 2 3 6 5 7 0 
8	0	8	1 4 2 3 6 5 0 7 
10	0	10	1 4 2 3 6 0 5 7 
10	0	10	1 4 2 3 0 6 5 7 
8	0	8	1 4 2 3 7 6 5 0 
10	0	10	1 4 2 3 7 6 0 5 
12	0	12	1 4 2 0 3 5 7 6 
8	0	8	1 4 2 6 3 5 7 0 
10	0	10	1 4 2 6 3 5 0 7 
12	0	12	1 0 2 3 4 5 7 6 
10	0	10	1 2 0 3 4 5 7 6 
8	0	8	1 2 3 0 4 5 7 6 
4	0	4	1 2 3 6 4 5 7 0 
6	0	6	1 2 3 4 0 5 7 6 
2	0	2	1 2 3 4 6 5 7 0 
4	0	4	1 2 3 4 5 0 7 6 
4	0	4	1 2 3 4 6 5 0 7 
4	0	4	1 2 3 4 5 7 0 6 
2	0	2	1 2 3 4 5 7 6 0 
6	0	6	1 2 3 6 4 5 0 7 
6	0	6	1 2 3 4 6 0 5 7 
6	0	6	1 2 3 4 0 6 5 7 
4	0	4	1 2 3 4 7 6 5 0 
6	0	6	1 2 3 4 7 6 0 5 
8	0	8	1 2 3 7 4 5 0 6 
6	0	6	1 2 3 7 4 5 6 0 
8	0	8	1 2 3 4 0 7 6 5 
8	0	8	1 2 3 6 4 0 5 7 
8	0	8	1 2 3 0 4 5 6 7 
6	0	6	1 2 3 4 0 5 6 7 
4	0	4	1 2 3 4 5 0 6 7 
2	0	2	1 2 3 4 5 6 0 7 
