0	0	1 3 2 5 0 7 6 4 
5	3	1 3 2 0 5 7 6 4 
4	1	1 3 2 4 5 7 6 0 
6	1	1 3 2 4 5 7 0 6 
7	1	1 3 2 4 5 0 7 6 
5	1	1 3 2 4 0 5 7 6 
6	2	1 3 2 4 6 5 7 0 
4	1	1 3 2 0 6 5 7 4 
2	1	1 3 0 2 6 5 7 4 
3	1	1 0 3 2 6 5 7 4 
5	1	1 5 3 2 6 0 7 4 
6	1	1 5 3 2 0 6 7 4 
5	3	1 0 3 2 5 6 7 4 
3	1	1 3 0 2 5 6 7 4 
2	1	1 3 2 0 5 6 7 4 
4	1	1 3 2 4 5 6 7 0 
2	3	1 3 0 4 5 6 7 2 
3	1	1 0 3 4 5 6 7 2 
6	1	1 6 3 4 5 0 7 2 
7	1	1 6 3 4 5 7 0 2 
2	1	1 6 3 4 5 7 2 0 
4	1	1 6 3 0 5 7 2 4 
3	1	1 6 0 3 5 7 2 4 
2	1	1 6 2 3 5 7 0 4 
7	1	1 6 2 3 5 0 7 4 
6	1	1 0 2 3 5 6 7 4 
2	1	1 2 0 3 5 6 7 4 
3	1	1 2 3 0 5 6 7 4 
4	1	1 2 3 4 5 6 7 0 
35	0.2
