0	0	0	5 6 0 3 2 7 1 4 
17	1	16	5 6 1 3 2 7 0 4 
16	2	14	5 6 1 3 2 7 4 0 
20	2	18	5 6 1 3 2 0 7 4 
21	3	18	5 0 1 3 2 6 7 4 
20	4	16	5 1 0 3 2 6 7 4 
15	5	10	5 1 7 3 2 6 0 4 
14	6	8	5 1 7 3 2 6 4 0 
16	6	10	5 1 7 3 2 0 6 4 
19	5	14	5 1 3 0 2 6 7 4 
14	6	8	5 1 3 4 2 6 7 0 
16	8	8	5 1 3 7 2 6 0 4 
15	9	6	5 1 3 7 2 6 4 0 
17	7	10	5 1 3 4 2 6 0 7 
17	9	8	5 1 3 7 2 0 6 4 
19	7	12	5 1 7 3 0 2 6 4 
17	9	8	5 1 7 3 4 2 6 0 
20	8	12	5 1 3 4 2 0 6 7 
20	10	10	5 1 3 7 0 2 6 4 
18	12	6	5 1 3 7 4 2 6 0 
20	10	10	5 1 7 3 4 2 0 6 
21	13	8	5 1 3 7 4 2 0 6 
22	8	14	5 1 7 3 0 6 4 2 
22	8	14	5 1 3 4 0 6 7 2 
22	4	18	0 5 1 3 2 6 7 4 
19	7	12	4 5 1 3 2 6 7 0 
19	5	14	2 5 1 3 0 6 7 4 
15	7	8	2 5 1 3 4 6 7 0 
18	8	10	2 5 1 3 4 6 0 7 
20	6	14	3 5 1 0 2 6 7 4 
17	9	8	3 5 1 7 2 6 0 4 
16	10	6	3 5 1 7 2 6 4 0 
17	7	10	3 5 1 4 2 6 7 0 
18	10	8	3 5 1 7 2 0 6 4 
20	6	14	2 5 1 3 6 0 7 4 
20	8	12	3 5 1 4 2 6 0 7 
21	9	12	2 5 1 3 4 0 6 7 
21	11	10	3 5 1 7 0 2 6 4 
19	13	6	3 5 1 7 4 2 6 0 
21	7	14	2 5 1 3 6 7 0 4 
20	8	12	2 5 1 3 6 7 4 0 
21	9	12	3 5 1 4 2 0 6 7 
22	8	14	5 1 3 2 0 6 7 4 
18	10	8	5 1 3 2 4 6 7 0 
21	11	10	5 1 3 2 4 6 0 7 
22	8	14	2 0 1 3 5 6 7 4 
21	9	12	2 1 0 3 5 6 7 4 
20	10	10	2 1 3 0 5 6 7 4 
13	11	2	2 1 3 4 5 6 7 0 
16	12	4	2 1 3 4 5 6 0 7 
19	13	6	2 1 3 4 5 0 6 7 
21	13	8	2 1 3 4 0 6 7 5 
22	8	14	4 5 1 3 2 6 0 7 
22	10	12	2 1 7 3 5 6 0 4 
21	11	10	2 1 7 3 5 6 4 0 
22	14	8	2 1 3 4 0 5 6 7 
22	14	8	2 1 3 4 6 0 7 5 
22	16	6	2 1 3 4 7 5 6 0 
22	14	8	3 5 1 7 4 2 0 6 
23	9	14	3 5 1 2 0 6 7 4 
21	11	10	3 5 1 2 4 6 7 0 
23	15	8	2 1 3 4 6 7 0 5 
22	16	6	2 1 3 4 6 7 5 0 
23	9	14	0 1 3 4 5 6 7 2 
22	10	12	1 0 3 4 5 6 7 2 
23	9	14	5 1 3 4 6 0 7 2 
