0	0	3 7 2 0 5 6 4 1 
4	3	3 7 2 4 5 6 0 1 
1	1	3 7 2 4 5 6 1 0 
2	3	3 7 0 4 5 6 1 2 
1	1	3 7 1 4 5 6 0 2 
2	1	3 7 1 4 5 6 2 0 
4	1	3 7 1 0 5 6 2 4 
2	3	3 7 1 2 5 6 0 4 
6	1	3 7 1 2 5 0 6 4 
7	1	3 0 1 2 5 7 6 4 
1	1	3 1 0 2 5 7 6 4 
2	1	3 1 2 0 5 7 6 4 
3	2	0 1 2 3 5 7 6 4 
1	1	1 0 2 3 5 7 6 4 
2	1	1 2 0 3 5 7 6 4 
3	1	1 2 3 0 5 7 6 4 
4	1	1 2 3 4 5 7 6 0 
6	1	1 2 3 4 5 7 0 6 
7	1	1 2 3 4 5 0 7 6 
2	1	1 0 3 4 5 2 7 6 
3	1	1 3 0 4 5 2 7 6 
7	1	1 3 7 4 5 2 0 6 
6	1	1 3 7 4 5 2 6 0 
7	3	1 3 0 4 5 2 6 7 
3	1	1 0 3 4 5 2 6 7 
2	1	1 2 3 4 5 0 6 7 
6	1	1 2 3 4 5 6 0 7 
7	1	1 2 3 4 5 6 7 0 
36	0.45
