0	0	0	3 6 0 2 1 5 7 4 
19	1	18	3 6 7 2 1 5 0 4 
18	2	16	3 6 7 2 1 5 4 0 
21	1	20	3 6 2 0 1 5 7 4 
14	2	12	3 6 2 4 1 5 7 0 
17	3	14	3 6 2 4 1 5 0 7 
20	4	16	3 6 2 4 1 0 5 7 
21	5	16	3 0 2 4 1 6 5 7 
20	6	14	3 2 0 4 1 6 5 7 
17	7	10	3 2 5 4 1 6 0 7 
16	8	8	3 2 5 4 1 6 7 0 
20	8	12	3 2 5 4 1 0 6 7 
21	7	14	3 2 4 0 1 6 5 7 
20	10	10	3 2 4 5 1 6 0 7 
19	11	8	3 2 4 5 1 6 7 0 
20	8	12	3 2 4 7 1 6 5 0 
22	4	18	3 6 2 4 0 5 7 1 
21	5	16	3 6 2 4 5 0 7 1 
22	6	16	0 3 2 4 1 6 5 7 
15	7	8	1 3 2 4 0 6 5 7 
15	9	6	1 3 2 4 7 6 5 0 
16	8	8	1 3 2 4 6 0 5 7 
15	9	6	1 3 2 4 6 5 0 7 
14	10	4	1 3 2 4 6 5 7 0 
18	10	8	1 3 2 4 7 6 0 5 
20	12	8	1 3 2 4 0 5 7 6 
19	13	6	1 3 2 4 5 0 7 6 
20	10	10	1 3 2 0 4 6 5 7 
19	13	6	1 3 2 5 4 6 0 7 
18	14	4	1 3 2 5 4 6 7 0 
19	11	8	1 3 2 7 4 6 5 0 
20	14	6	1 3 2 4 5 7 0 6 
19	15	4	1 3 2 4 5 7 6 0 
21	11	10	1 3 2 4 7 0 6 5 
22	14	8	1 3 2 5 4 0 6 7 
22	4	18	3 6 2 1 0 5 7 4 
18	6	12	3 6 2 1 4 5 7 0 
21	5	16	3 6 2 1 5 0 7 4 
21	7	14	3 6 2 1 4 5 0 7 
22	10	12	1 0 2 4 3 6 5 7 
21	11	10	1 2 0 4 3 6 5 7 
18	12	6	1 2 5 4 3 6 0 7 
17	13	4	1 2 5 4 3 6 7 0 
21	13	8	1 2 5 4 3 0 6 7 
22	10	12	3 2 4 1 0 6 5 7 
22	6	16	3 0 2 4 5 6 7 1 
21	7	14	3 2 0 4 5 6 7 1 
22	12	10	1 2 4 0 3 6 5 7 
21	15	6	1 2 4 5 3 6 0 7 
20	16	4	1 2 4 5 3 6 7 0 
21	13	8	1 2 4 7 3 6 5 0 
22	12	10	3 2 4 1 7 6 5 0 
22	8	14	3 2 4 0 5 6 7 1 
15	9	6	3 2 4 1 5 6 7 0 
18	10	8	3 2 4 1 5 6 0 7 
21	11	10	3 2 4 1 5 0 6 7 
22	8	14	3 2 7 4 5 6 0 1 
21	9	12	3 2 7 4 5 6 1 0 
22	6	16	3 6 2 1 5 7 0 4 
21	7	14	3 6 2 1 5 7 4 0 
22	6	16	3 0 2 1 5 6 7 4 
21	7	14	3 2 0 1 5 6 7 4 
20	8	12	3 2 1 0 5 6 7 4 
13	9	4	3 2 1 4 5 6 7 0 
16	10	6	3 2 1 4 5 6 0 7 
19	11	8	3 2 1 4 5 0 6 7 
21	11	10	3 2 1 4 0 6 7 5 
22	8	14	3 2 7 1 5 6 0 4 
21	9	12	3 2 7 1 5 6 4 0 
22	6	16	3 6 2 4 5 7 0 1 
21	7	14	3 6 2 4 5 7 1 0 
22	2	20	3 6 7 2 1 0 5 4 
22	12	10	1 3 2 4 0 7 6 5 
18	14	4	1 3 2 4 5 7 6 0 
22	4	18	3 6 2 7 1 5 0 4 
21	5	16	3 6 2 7 1 5 4 0 
22	12	10	3 2 1 4 6 0 7 5 
22	12	10	1 3 2 7 4 6 0 5 
22	12	10	3 2 1 4 0 5 6 7 
22	14	8	3 2 1 4 7 5 6 0 
23	7	16	0 3 2 1 5 6 7 4 
18	10	8	4 3 2 1 5 6 7 0 
19	9	10	1 3 2 0 5 6 7 4 
12	10	2	1 3 2 4 5 6 7 0 
15	11	4	1 3 2 4 5 6 0 7 
18	12	6	1 3 2 4 5 0 6 7 
20	12	8	1 3 2 7 5 6 0 4 
19	13	6	1 3 2 7 5 6 4 0 
20	12	8	1 3 2 4 0 6 7 5 
21	11	10	4 3 2 1 5 6 0 7 
21	13	8	1 3 2 4 0 5 6 7 
21	13	8	1 3 2 7 5 0 6 4 
21	13	8	1 3 2 4 6 0 7 5 
21	15	6	1 3 2 4 7 5 6 0 
22	12	10	1 3 2 5 0 6 7 4 
22	10	12	1 3 0 2 5 6 7 4 
19	11	8	1 3 7 2 5 6 0 4 
18	12	6	1 3 7 2 5 6 4 0 
20	12	8	1 3 7 2 5 0 6 4 
22	14	8	1 3 2 4 6 7 0 5 
21	15	6	1 3 2 4 6 7 5 0 
23	11	12	3 2 1 5 0 6 7 4 
19	13	6	3 2 1 5 4 6 7 0 
22	14	8	3 2 1 5 4 6 0 7 
23	1	22	3 0 6 2 1 5 7 4 
20	2	18	3 5 6 2 1 0 7 4 
19	3	16	3 5 6 2 1 7 0 4 
18	4	14	3 5 6 2 1 7 4 0 
20	4	16	3 5 0 2 1 7 6 4 
21	5	16	3 5 2 0 1 7 6 4 
18	6	12	3 5 2 4 1 7 6 0 
21	5	16	3 0 5 2 1 7 6 4 
18	6	12	3 7 5 2 1 0 6 4 
19	7	12	3 7 5 2 1 6 0 4 
18	8	10	3 7 5 2 1 6 4 0 
21	7	14	3 5 2 4 1 7 0 6 
21	7	14	3 7 5 2 0 1 6 4 
19	9	10	3 7 5 2 4 1 6 0 
22	8	14	3 5 2 1 0 7 6 4 
20	10	10	3 5 2 1 4 7 6 0 
21	9	12	3 5 2 1 7 0 6 4 
22	8	14	3 5 2 4 1 0 7 6 
22	10	12	3 7 5 2 4 1 0 6 
22	10	12	3 5 2 1 7 6 0 4 
21	11	10	3 5 2 1 7 6 4 0 
22	6	16	0 3 5 2 1 7 6 4 
15	7	8	1 3 5 2 0 7 6 4 
13	9	4	1 3 5 2 4 7 6 0 
14	8	6	1 3 5 2 7 0 6 4 
15	9	6	1 3 5 2 7 6 0 4 
14	10	4	1 3 5 2 7 6 4 0 
16	10	6	1 3 5 2 4 7 0 6 
18	10	8	1 3 5 0 2 7 6 4 
15	11	4	1 3 5 4 2 7 6 0 
18	12	6	1 3 5 4 2 7 0 6 
19	11	8	1 3 5 2 4 0 7 6 
20	10	10	1 3 5 0 4 7 6 2 
20	12	8	1 3 5 2 0 4 7 6 
20	14	6	1 3 5 2 6 4 7 0 
21	9	12	4 3 5 2 1 7 6 0 
21	9	12	7 3 5 2 1 0 6 4 
21	11	10	1 3 5 0 7 6 4 2 
21	13	8	1 3 5 6 2 7 0 4 
20	14	6	1 3 5 6 2 7 4 0 
21	11	10	1 3 0 5 2 7 6 4 
21	13	8	1 3 5 4 2 0 7 6 
22	10	12	7 3 5 2 1 6 0 4 
21	11	10	7 3 5 2 1 6 4 0 
22	14	8	1 3 5 4 7 6 0 2 
21	15	6	1 3 5 4 7 6 2 0 
22	12	10	1 3 6 5 2 7 0 4 
21	13	8	1 3 6 5 2 7 4 0 
22	14	8	1 3 5 7 0 6 4 2 
18	16	2	1 3 5 7 2 6 4 0 
21	17	4	1 3 5 7 2 6 0 4 
22	12	10	1 3 5 2 0 6 4 7 
22	18	4	1 3 5 7 2 0 6 4 
23	11	12	3 5 2 1 4 7 0 6 
23	11	12	1 3 2 0 6 5 7 4 
23	11	12	3 2 4 1 0 6 7 5 
23	13	10	1 3 7 2 0 5 6 4 
21	15	6	1 3 7 2 4 5 6 0 
23	7	16	3 5 0 2 1 7 4 6 
22	8	14	3 5 4 2 1 7 0 6 
21	9	12	3 5 4 2 1 7 6 0 
23	11	12	3 2 4 5 1 0 6 7 
23	5	18	3 6 2 4 0 1 5 7 
23	3	20	3 5 6 2 0 1 7 4 
21	5	16	3 5 6 2 4 1 7 0 
23	11	12	1 3 0 2 4 6 5 7 
20	12	8	1 3 5 2 4 6 0 7 
19	13	6	1 3 5 2 4 6 7 0 
21	13	8	1 3 5 2 4 0 6 7 
22	14	8	1 3 5 2 0 4 6 7 
18	16	2	1 3 5 2 7 4 6 0 
21	17	4	1 3 5 2 7 4 0 6 
23	15	8	1 2 4 3 0 6 5 7 
23	9	14	3 2 5 4 0 1 6 7 
23	11	12	1 6 2 4 3 0 5 7 
22	12	10	1 6 2 4 3 5 0 7 
21	13	8	1 6 2 4 3 5 7 0 
23	7	16	3 6 2 4 7 1 5 0 
23	17	6	1 2 4 3 7 6 5 0 
23	11	12	3 2 5 4 7 1 6 0 
23	7	16	0 3 2 4 5 6 7 1 
23	11	12	3 2 4 1 6 0 5 7 
22	12	10	3 2 4 1 6 5 0 7 
21	13	8	3 2 4 1 6 5 7 0 
23	11	12	1 0 3 2 5 6 7 4 
23	13	10	1 3 5 2 6 0 4 7 
22	14	8	1 3 5 2 6 4 0 7 
23	13	10	1 3 2 7 4 0 6 5 
23	13	10	3 2 1 4 6 7 0 5 
22	14	8	3 2 1 4 6 7 5 0 
23	15	8	1 3 5 7 6 0 4 2 
22	16	6	1 3 5 7 6 4 0 2 
21	17	4	1 3 5 7 6 4 2 0 
23	15	8	1 3 5 4 7 0 6 2 
23	9	14	7 3 2 4 1 6 5 0 
23	15	8	1 3 5 0 2 7 4 6 
23	15	8	1 3 5 0 2 4 7 6 
20	18	2	1 3 5 7 2 4 0 6 
