0	0	0	5 3 6 2 1 4 7 0 
17	1	16	5 3 6 2 1 4 0 7 
18	2	16	5 3 0 2 1 4 6 7 
19	3	16	5 3 0 2 1 4 7 6 
14	4	10	5 3 7 2 1 4 0 6 
13	5	8	5 3 7 2 1 4 6 0 
17	5	12	5 3 7 2 1 0 4 6 
19	3	16	5 3 2 0 1 4 6 7 
12	4	8	5 3 2 7 1 4 6 0 
15	5	10	5 3 2 7 1 4 0 6 
18	6	12	5 3 2 7 1 0 4 6 
20	6	14	5 3 7 2 0 1 4 6 
20	6	14	5 3 2 7 0 4 6 1 
20	6	14	5 3 2 1 0 4 6 7 
16	8	8	5 3 2 1 7 4 6 0 
19	9	10	5 3 2 1 7 4 0 6 
20	6	14	5 3 0 7 1 4 2 6 
20	8	12	5 3 7 2 6 1 4 0 
20	4	16	5 3 2 0 1 4 7 6 
19	5	14	5 3 2 6 1 4 7 0 
20	2	18	5 3 6 2 1 0 4 7 
20	6	14	5 3 7 0 1 4 6 2 
21	3	18	5 0 3 2 1 4 6 7 
20	4	16	5 4 3 2 1 0 6 7 
19	5	14	5 4 3 2 1 6 0 7 
18	6	12	5 4 3 2 1 6 7 0 
21	7	14	5 3 2 7 4 0 6 1 
21	7	14	5 3 2 1 4 0 6 7 
20	8	12	5 3 2 1 4 6 0 7 
19	9	10	5 3 2 1 4 6 7 0 
21	7	14	5 3 7 2 0 4 6 1 
21	1	20	5 3 6 0 1 4 7 2 
18	4	14	5 3 6 7 1 4 0 2 
17	5	12	5 3 6 7 1 4 2 0 
19	5	14	5 3 0 7 1 4 6 2 
21	7	14	5 3 2 7 0 1 4 6 
21	5	16	5 3 6 7 1 0 4 2 
21	9	12	5 3 7 1 0 4 6 2 
17	11	6	5 3 7 1 2 4 6 0 
20	12	8	5 3 7 1 2 4 0 6 
21	7	14	5 3 2 1 0 4 7 6 
21	7	14	5 3 0 7 1 4 6 2 
21	9	12	5 3 2 7 6 1 4 0 
21	7	14	5 3 7 0 1 4 2 6 
20	8	12	5 3 7 6 1 4 2 0 
21	9	12	5 3 2 1 6 4 7 0 
22	6	16	5 3 2 6 1 4 0 7 
22	4	18	5 3 6 1 0 4 7 2 
18	6	12	5 3 6 1 2 4 7 0 
21	7	14	5 3 6 1 2 4 0 7 
22	8	14	5 3 2 7 4 6 0 1 
21	9	12	5 3 2 7 4 6 1 0 
22	8	14	5 3 0 1 2 4 6 7 
21	9	12	5 3 1 0 2 4 6 7 
14	10	4	5 3 1 7 2 4 6 0 
17	11	6	5 3 1 7 2 4 0 6 
20	12	8	5 3 1 7 2 0 4 6 
22	8	14	5 3 7 2 4 0 6 1 
22	12	10	5 3 1 7 0 4 6 2 
22	2	20	5 3 0 6 1 4 7 2 
17	3	14	5 3 7 6 1 4 0 2 
16	4	12	5 3 7 6 1 4 2 0 
19	5	14	5 3 7 0 1 4 2 6 
18	6	12	5 3 7 6 1 4 2 0 
20	4	16	5 3 7 6 1 0 4 2 
20	8	12	5 3 7 1 0 4 2 6 
20	10	10	5 3 7 1 6 4 2 0 
21	9	12	5 3 7 1 4 0 2 6 
20	10	10	5 3 7 1 4 2 0 6 
19	11	8	5 3 7 1 4 2 6 0 
22	4	18	0 5 3 2 1 4 6 7 
