0	0	0	5 4 1 3 0 7 2 6 
10	0	10	5 4 1 3 6 7 2 0 
12	0	12	5 4 1 3 6 7 0 2 
12	0	12	5 4 1 0 6 7 2 3 
12	0	12	5 4 1 3 6 0 7 2 
12	0	12	5 4 1 2 6 7 0 3 
10	0	10	5 4 1 2 6 7 3 0 
12	0	12	5 4 1 3 0 6 7 2 
8	0	8	5 4 1 3 2 6 7 0 
10	0	10	5 4 1 3 2 6 0 7 
10	0	10	5 4 1 0 2 6 7 3 
10	0	10	5 4 1 3 2 0 6 7 
10	0	10	5 4 1 7 2 6 0 3 
8	0	8	5 4 1 7 2 6 3 0 
10	0	10	5 0 1 3 2 4 6 7 
8	0	8	5 1 0 3 2 4 6 7 
6	0	6	5 1 3 0 2 4 6 7 
4	0	4	5 1 3 7 2 4 6 0 
6	0	6	5 1 3 7 2 4 0 6 
8	0	8	5 1 6 3 2 4 0 7 
8	0	8	5 1 3 6 2 4 0 7 
8	0	8	0 1 3 7 2 4 6 5 
6	0	6	1 0 3 7 2 4 6 5 
4	0	4	1 3 0 7 2 4 6 5 
4	0	4	1 3 7 0 2 4 6 5 
2	0	2	1 3 7 5 2 4 6 0 
4	0	4	1 3 6 7 2 4 0 5 
2	0	2	1 3 6 7 2 4 5 0 
4	0	4	1 3 0 5 2 4 6 7 
2	0	2	1 3 5 0 2 4 6 7 
