0	0	0	3 0 7 6 5 1 4 2 
15	1	14	3 1 7 6 5 0 4 2 
14	2	12	3 1 7 6 5 4 0 2 
13	3	10	3 1 7 6 5 4 2 0 
16	4	12	3 1 7 0 5 4 2 6 
15	7	8	3 1 7 2 5 4 0 6 
14	8	6	3 1 7 2 5 4 6 0 
17	7	10	3 1 7 5 0 4 2 6 
17	5	12	3 1 0 7 5 4 2 6 
14	6	8	3 1 2 7 5 4 0 6 
13	7	6	3 1 2 7 5 4 6 0 
17	9	8	3 1 7 5 6 4 2 0 
17	7	10	3 1 2 7 5 0 4 6 
18	8	10	3 1 7 2 5 0 4 6 
18	2	16	3 1 7 6 0 5 4 2 
14	4	10	3 1 7 6 2 5 4 0 
17	5	12	3 1 7 6 2 5 0 4 
17	5	12	3 1 7 0 2 5 4 6 
18	8	10	3 1 7 5 4 0 2 6 
17	9	8	3 1 7 5 4 2 0 6 
16	10	6	3 1 7 5 4 2 6 0 
18	8	10	3 1 7 4 2 5 0 6 
17	9	8	3 1 7 4 2 5 6 0 
18	6	12	3 1 0 7 2 5 4 6 
17	7	10	3 1 4 7 2 5 0 6 
16	8	8	3 1 4 7 2 5 6 0 
20	8	12	3 1 2 0 5 4 6 7 
20	10	10	3 1 7 5 6 4 0 2 
20	8	12	3 1 2 7 0 5 4 6 
20	8	12	3 1 4 7 2 0 5 6 
20	10	10	3 1 2 7 6 5 4 0 
20	6	14	3 0 1 7 5 4 2 6 
20	6	14	3 1 7 6 2 0 5 4 
20	8	12	3 1 7 2 0 5 4 6 
20	10	10	3 1 7 2 6 5 4 0 
21	5	16	3 1 7 0 6 5 4 2 
16	6	10	3 1 7 2 6 5 4 0 
19	7	12	3 1 7 2 6 5 0 4 
18	8	10	3 1 7 2 6 5 4 0 
21	7	14	3 0 1 7 2 5 4 6 
16	8	8	3 5 1 7 2 0 4 6 
15	9	6	3 5 1 7 2 4 0 6 
14	10	4	3 5 1 7 2 4 6 0 
19	9	10	3 5 1 7 0 2 4 6 
19	11	8	3 5 1 7 6 2 4 0 
21	9	12	3 1 7 4 2 0 5 6 
21	5	16	3 1 7 6 0 4 2 5 
21	11	10	3 1 2 6 5 4 0 7 
20	12	8	3 1 2 6 5 4 7 0 
21	9	12	3 1 7 2 0 5 4 6 
21	9	12	3 1 2 7 0 4 6 5 
21	3	18	3 1 0 6 5 4 7 2 
21	9	12	3 1 7 0 5 4 6 2 
21	7	14	0 3 1 7 5 4 2 6 
18	8	10	5 3 1 7 0 4 2 6 
18	10	8	5 3 1 7 6 4 2 0 
19	9	10	5 3 1 7 4 0 2 6 
18	10	8	5 3 1 7 4 2 0 6 
17	11	6	5 3 1 7 4 2 6 0 
21	7	14	3 4 1 7 5 0 2 6 
20	8	12	3 4 1 7 5 2 0 6 
19	9	10	3 4 1 7 5 2 6 0 
21	11	10	5 3 1 7 6 4 0 2 
22	10	12	3 1 7 2 0 4 6 5 
22	10	12	3 1 7 0 2 5 6 4 
22	10	12	3 1 2 7 4 0 6 5 
22	4	18	3 1 6 0 5 4 7 2 
15	5	10	3 1 6 2 5 4 7 0 
18	6	12	3 1 6 2 5 4 0 7 
19	7	12	3 1 6 7 5 4 0 2 
18	8	10	3 1 6 7 5 4 2 0 
20	8	12	3 1 0 7 5 4 6 2 
21	7	14	3 1 6 2 5 0 4 7 
21	7	14	3 1 0 2 5 4 6 7 
22	10	12	6 3 1 7 5 4 2 0 
22	12	10	3 1 7 5 0 4 6 2 
18	14	4	3 1 7 5 2 4 6 0 
21	15	6	3 1 7 5 2 4 0 6 
22	12	10	3 5 1 7 0 4 6 2 
22	6	16	0 1 7 3 5 4 2 6 
19	7	12	5 1 7 3 0 4 2 6 
19	9	10	5 1 7 3 6 4 2 0 
20	8	12	5 1 7 3 4 0 2 6 
19	9	10	5 1 7 3 4 2 0 6 
18	10	8	5 1 7 3 4 2 6 0 
21	7	14	1 0 7 3 5 4 2 6 
22	8	14	3 1 0 2 5 4 7 6 
21	9	12	3 1 2 0 5 4 7 6 
18	10	8	3 1 2 6 5 4 7 0 
