0	0	0	1 3 2 5 0 7 6 4 
8	2	6	1 3 2 5 4 7 6 0 
9	1	8	1 3 2 5 7 0 6 4 
10	2	8	1 3 2 5 7 6 0 4 
9	3	6	1 3 2 5 7 6 4 0 
11	3	8	1 3 2 5 4 7 0 6 
12	4	8	1 3 2 5 4 0 7 6 
15	3	12	1 3 2 0 5 7 6 4 
8	4	4	1 3 2 4 5 7 6 0 
11	5	6	1 3 2 4 5 7 0 6 
12	6	6	1 3 2 4 5 0 7 6 
15	5	10	1 3 2 5 0 4 7 6 
13	7	6	1 3 2 5 6 4 7 0 
15	5	10	1 3 2 5 0 6 4 7 
15	7	8	1 3 2 4 0 5 7 6 
13	9	4	1 3 2 4 6 5 7 0 
15	3	12	1 3 0 5 7 6 2 4 
14	4	10	1 3 5 0 7 6 2 4 
11	5	6	1 3 5 4 7 6 2 0 
13	7	6	1 3 5 2 7 6 0 4 
12	8	4	1 3 5 2 7 6 4 0 
14	6	8	1 3 5 4 7 6 0 2 
14	8	6	1 3 5 2 7 0 6 4 
15	7	8	1 3 5 4 7 0 6 2 
15	3	12	1 3 2 0 4 7 6 5 
15	7	8	1 3 5 7 0 6 2 4 
13	9	4	1 3 5 7 4 6 2 0 
16	8	8	1 3 2 5 6 4 0 7 
16	6	10	1 3 2 5 6 0 4 7 
15	7	8	1 3 2 5 6 4 0 7 
16	8	8	1 3 5 7 6 0 2 4 
15	9	6	1 3 5 7 6 2 0 4 
14	10	4	1 3 5 7 6 2 4 0 
16	10	6	1 3 5 7 4 6 0 2 
16	6	10	1 3 2 6 5 7 0 4 
15	7	8	1 3 2 6 5 7 4 0 
16	4	12	1 3 0 5 4 7 2 6 
15	5	10	1 3 5 0 4 7 2 6 
14	8	6	1 3 5 2 4 7 0 6 
13	9	4	1 3 5 2 4 7 6 0 
14	6	8	1 3 5 6 4 7 2 0 
16	6	10	1 3 2 6 4 7 0 5 
15	7	8	1 3 2 6 4 7 5 0 
16	6	10	1 3 2 4 0 7 6 5 
16	10	6	1 3 2 4 6 5 0 7 
16	4	12	1 3 0 2 5 7 6 4 
17	5	12	1 3 0 5 4 7 6 2 
16	6	10	1 3 5 0 4 7 6 2 
11	7	4	1 3 5 2 4 7 6 0 
17	9	8	1 3 5 2 0 7 6 4 
17	7	10	1 3 5 6 4 7 0 2 
17	7	10	1 3 2 4 7 0 6 5 
16	8	8	1 3 2 4 7 6 0 5 
15	9	6	1 3 2 4 7 6 5 0 
17	5	12	1 3 6 2 5 7 0 4 
16	6	10	1 3 6 2 5 7 4 0 
17	7	10	1 3 2 6 4 0 7 5 
17	9	8	1 3 5 2 4 0 7 6 
17	11	6	1 3 5 7 4 0 6 2 
17	7	10	1 3 2 6 5 0 7 4 
18	8	10	1 3 2 0 5 6 4 7 
15	11	4	1 3 2 4 5 6 0 7 
14	12	2	1 3 2 4 5 6 7 0 
15	9	6	1 3 2 7 5 6 4 0 
18	8	10	1 3 5 4 0 7 6 2 
14	10	4	1 3 5 4 2 7 6 0 
17	11	6	1 3 5 4 2 7 0 6 
18	12	6	1 3 2 4 5 0 6 7 
18	10	8	1 3 2 7 5 6 0 4 
18	10	8	1 3 5 2 0 4 7 6 
18	12	6	1 3 5 7 0 4 6 2 
