0	0	3 5 1 6 2 7 8 0 4 
4	1	3 5 1 6 2 7 8 4 0 
8	2	3 5 1 6 2 7 0 4 8 
7	3	3 5 1 6 2 0 7 4 8 
6	2	3 5 1 0 2 6 7 4 8 
2	1	3 5 1 2 0 6 7 4 8 
4	1	3 5 1 2 4 6 7 0 8 
8	1	3 5 1 2 4 6 7 8 0 
6	1	3 5 1 2 4 0 7 8 6 
2	2	3 5 1 0 4 2 7 8 6 
4	1	3 5 1 4 0 2 7 8 6 
5	1	3 0 1 4 5 2 7 8 6 
1	1	3 1 0 4 5 2 7 8 6 
3	2	0 1 3 4 5 2 7 8 6 
1	1	1 0 3 4 5 2 7 8 6 
5	1	1 5 3 4 0 2 7 8 6 
2	1	1 5 3 4 2 0 7 8 6 
6	1	1 5 3 4 2 6 7 8 0 
8	1	1 5 3 4 2 6 7 0 8 
2	1	1 5 3 4 0 6 7 2 8 
5	1	1 0 3 4 5 6 7 2 8 
2	2	1 2 3 4 5 6 7 0 8 
8	1	1 2 3 4 5 6 7 8 0 
29		1.02
